,ticker,strategy,ep_count,year,investment,returns,required capital,profit,profit percentage
0,BHARTIARTL,t-dqn,30,2018,21181.191737000005,20842.361295,4548.345641,-338.83044200000586,-7.449531516375932
0,BHARTIARTL,t-dqn,30,2019,8544.629518,8702.901032,1809.0638440000002,158.27151400000002,8.748807540702803
0,BHARTIARTL,t-dqn,40,2018,7957.654509000002,7958.2021159999995,1940.3014220000005,0.5476069999976971,0.028222779913918805
0,BHARTIARTL,t-dqn,40,2019,6390.3285240000005,6468.776763,625.573642,78.44823899999938,12.540208495549015
0,BHARTIARTL,t-dqn,50,2018,35047.07964700001,32202.833371000015,9127.236416999995,-1106.5922219999993,-12.12406660069535
0,BHARTIARTL,t-dqn,50,2019,24025.938478,22622.091703999995,2508.042664,431.5622819999953,17.207134798564784
0,INFRATEL,t-dqn,10,2018,33306.487273,12784.825866999998,21005.590086000004,-1543.5821770000039,-7.348435205487442
0,INFRATEL,t-dqn,10,2019,25495.673862000007,16377.555508,10468.651907000005,-12.642278000006627,-0.12076319006798952
0,INFRATEL,t-dqn,20,2018,8516.325024000002,8135.937822,1560.5968739999998,-140.15835100000186,-8.98107341717012
0,INFRATEL,t-dqn,20,2019,7679.304307,7168.4893040000015,1566.3743140000001,-18.627106999998432,-1.189186188353088
0,INFRATEL,t-dqn,30,2018,29593.674622000006,15169.344706999997,15864.606831,-971.5142590000105,-6.123784026602143
0,INFRATEL,t-dqn,30,2019,26032.487045,16576.737728999997,9702.710818000003,-350.27324000000226,-3.6100554429612823
0,INFRATEL,t-dqn,40,2018,19632.701524,14686.887035999996,6521.357745,-381.46631900000284,-5.849492297711737
0,INFRATEL,t-dqn,40,2019,15791.335829000001,14271.908263,3292.811966,203.2300699999978,6.17193062034681
0,INFRATEL,t-dqn,50,2018,32810.367754,21256.878016000006,12993.766654000006,-502.9625919999926,-3.870799017659443
0,INFRATEL,t-dqn,50,2019,32708.57516499999,19975.007416000004,13603.631805000003,-182.77640099998462,-1.343585327947536
0,BRITANNIA,t-dqn,10,2018,86432.53808500001,87186.55859499997,24056.708736999997,754.0205099999584,3.1343460913264933
0,BRITANNIA,t-dqn,10,2019,170543.477296,154516.51245199997,42739.423341,1671.6040059999796,3.91115245674456
0,BRITANNIA,t-dqn,20,2018,252296.91576900004,234244.03515399995,35353.88916,-160.8601070001023,-0.4549997491707424
0,BRITANNIA,t-dqn,20,2019,385840.55786099995,213615.6884780001,175323.0705550001,7710.5805920001585,4.397926962830197
0,BRITANNIA,t-dqn,30,2018,26755.849609000004,27039.950927000005,5251.635987,284.1013180000009,5.409767902864378
0,BRITANNIA,t-dqn,30,2019,30478.272704000003,30384.8125,5513.554199,-93.4602040000027,-1.69509903461099
0,BRITANNIA,t-dqn,40,2018,29717.244384000005,29918.0647,5935.413572,200.8203159999939,3.3834258314762287
0,BRITANNIA,t-dqn,40,2019,65450.224854,64863.346924,6202.345703999999,-586.8779300000024,-9.46219314446653
0,BRITANNIA,t-dqn,50,2018,200396.10839500005,198793.33520500004,33433.196287,1379.2302280000004,4.125331649897601
0,BRITANNIA,t-dqn,50,2019,320556.5175770002,189829.48217600005,145590.9836439999,10861.51539899985,7.4602939874068745
0,CIPLA,t-dqn,10,2018,72958.03249800002,37492.353726999994,35465.678771000006,-2854.1079050000117,-8.047520881889318
0,CIPLA,t-dqn,10,2019,60600.301334,42831.154331,22563.793458999993,-535.7081430000108,-2.3741936123171414
0,CIPLA,t-dqn,20,2018,82107.51436699997,30393.29354899999,51714.220818000016,-5126.262437999976,-9.912674612348974
0,CIPLA,t-dqn,20,2019,71619.62091299998,28588.539858000015,45871.204193999976,-1862.3104449999664,-4.0598682282763345
0,CIPLA,t-dqn,30,2018,94247.70833899996,34029.230318,60218.478021,-6383.503892999957,-10.600573283791457
0,CIPLA,t-dqn,30,2019,68819.70511099996,41805.08276800001,30003.259826999998,-1164.4640529999597,-3.8811251167849967
0,CIPLA,t-dqn,40,2018,35332.824949,31653.23806799999,6949.551209000001,-56.07900700000755,-0.8069442948687472
0,CIPLA,t-dqn,40,2019,33266.487703,32563.432254000007,6033.4105210000025,-703.0554489999922,-11.652703666573395
0,CIPLA,t-dqn,50,2018,68113.939147,41439.179596999995,26674.759550000006,-2863.1363779999956,-10.73350398016988
0,CIPLA,t-dqn,50,2019,53100.68222499999,34126.49258600001,23596.334080999994,-1262.044143999985,-5.348475486351906
0,COALINDIA,t-dqn,10,2018,23539.87358500001,14811.383710999995,9832.379901999999,-708.0561880000132,-7.201269632146618
0,COALINDIA,t-dqn,10,2019,16042.771365,13230.619427999996,4357.522406000001,-169.31399100000453,-3.8855564062475296
0,COALINDIA,t-dqn,20,2018,26396.537372000024,18204.008576000004,9481.930725999997,-605.6320660000201,-6.387223061431385
0,COALINDIA,t-dqn,20,2019,20610.59816300001,17206.596453,3949.135194999999,-6.067208000011306,-0.1536338388134445
0,COALINDIA,t-dqn,30,2018,24668.624131000008,20447.066958000003,7001.743650999999,-319.72456900000543,-4.566356395443611
0,COALINDIA,t-dqn,30,2019,18499.486953,14189.404206000001,6047.712952000002,-345.8258279999973,-5.718291042329173
0,COALINDIA,t-dqn,40,2018,25633.023883000005,18802.386733000007,10216.093922,-544.351287999998,-5.328370041976186
0,COALINDIA,t-dqn,40,2019,19522.052077999997,15062.282779000001,5841.085996999999,-306.73824099999547,-5.251390600267437
0,COALINDIA,t-dqn,50,2018,29246.507249000006,15246.608703999998,14648.473708999994,-1210.5583430000079,-8.264057860555418
0,COALINDIA,t-dqn,50,2019,21641.715214000007,18900.218995000007,4070.1616410000015,-287.43241200000193,-7.061940958427941
