,Date,Open,High,Low,Close,Adj Close,Volume
785,2013-02-25,4382.600098,4419.299805,4350.0,4354.600098,4235.702636999999,1179.0
786,2013-02-26,4360.049805,4380.299805,4301.0,4332.75,4214.449219,6505.0
787,2013-02-27,4319.0,4353.200195,4250.0,4318.5,4200.588379,25392.0
788,2013-02-28,4320.0,4372.25,4315.0,4357.549805,4238.571289,6093.0
789,2013-03-01,4357.0,4390.0,4296.0,4323.75,4205.694824,26423.0
790,2013-03-04,4299.799805,4329.799805,4151.0,4173.899902,4059.936523,11714.0
791,2013-03-05,4127.149902,4247.950195,4011.0,4206.950195,4092.084473,41032.0
792,2013-03-06,4206.950195,4262.299805,4100.0,4194.200195,4079.681885,18453.0
793,2013-03-07,4240.0,4280.0,4191.299805,4255.899902,4139.698242,4703.0
794,2013-03-08,4292.299805,4292.299805,4135.0,4203.200195,4088.436035,18823.0
795,2013-03-11,4272.299805,4375.0,4100.0,4355.600098,4236.675293,9798.0
796,2013-03-12,4397.950195,4400.0,4304.0,4386.149902,4266.391113000001,46698.0
797,2013-03-13,4379.950195,4429.0,4270.0,4302.200195,4184.733397999999,14369.0
798,2013-03-14,4255.700195,4314.600098,4207.0,4237.25,4121.556640999999,4898.0
799,2013-03-15,4064.8000490000004,4269.399902,4064.8000490000004,4187.799805,4073.4560549999997,51161.0
800,2013-03-18,4153.149902,4180.0,4075.5500490000004,4103.149902,3991.117676,21833.0
801,2013-03-19,4238.399902,4238.399902,4062.0,4158.5,4044.9562990000004,9809.0
802,2013-03-20,4121.75,4230.049805,4099.600098,4177.049805,4063.000732,11377.0
803,2013-03-21,4177.0,4228.0,4090.0,4100.399902,3988.443115,20450.0
804,2013-03-22,4017.600098,4099.799805,3939.0,4012.4499509999996,3902.8942869999996,88492.0
805,2013-03-25,4097.299805,4130.0,4000.0,4014.9499509999996,3905.326904,9695.0
806,2013-03-26,4012.0,4110.0,3985.100098,4087.149902,3975.554443,2329.0
807,2013-03-28,4126.850098,4126.850098,3940.899902,4043.399902,3932.999268,13558.0
808,2013-04-01,4066.75,4250.0,4039.850098,4219.450195,4104.243164,4539.0
809,2013-04-02,4234.950195,4240.049805,4170.0,4214.25,4099.185059,5916.0
810,2013-04-03,4219.950195,4264.0,4165.0,4193.100098,4078.612793,3437.0
811,2013-04-04,4150.0,4200.0,4025.5,4041.4499509999996,3931.103271,7009.0
812,2013-04-05,4100.0,4100.0,3975.0,3983.850098,3875.0751950000003,8052.0
813,2013-04-08,3937.600098,4042.3000490000004,3937.600098,3999.850098,3890.6389159999994,17041.0
814,2013-04-09,4040.0,4048.6999509999996,3939.350098,4019.100098,3909.3632810000004,117228.0
815,2013-04-10,4000.0,4043.8000490000004,3972.0,4024.9499509999996,3915.052979,7496.0
816,2013-04-11,4039.9499509999996,4119.0,4039.9499509999996,4091.8000490000004,3980.078369,14293.0
817,2013-04-12,4200.0,4200.0,4050.0500490000004,4113.25,4000.9414060000004,7577.0
818,2013-04-15,4111.0,4149.950195,4005.350098,4042.0500490000004,3931.686279,2805.0
819,2013-04-16,4086.600098,4150.0,4060.0,4128.299805,4015.580078,3878.0
820,2013-04-17,4172.299805,4390.0,4085.0500490000004,4330.049805,4211.821777,26053.0
821,2013-04-18,4240.0,4387.799805,4240.0,4337.149902,4218.729004,29880.0
822,2013-04-22,4244.350098,4390.0,4244.350098,4364.950195,4245.770996,2208.0
823,2013-04-23,4299.950195,4380.0,4290.0,4342.5,4223.933105,2954.0
824,2013-04-25,4363.899902,4424.75,4360.049805,4366.299805,4247.083008,9815.0
825,2013-04-26,4419.850098,4419.850098,4295.0,4303.700195,4186.192383,2618.0
826,2013-04-29,4333.0,4440.0,4310.0,4414.0,4293.480957,7438.0
827,2013-04-30,4470.0,4579.950195,4350.0,4501.799805,4378.883789,15119.0
828,2013-05-02,4548.0,4776.950195,4490.0,4634.899902,4508.349609000001,70648.0
829,2013-05-03,4570.0,4694.950195,4570.0,4668.700195,4549.078125,16097.0
830,2013-05-06,4602.25,4724.950195,4600.0,4635.549805,4516.777344,5901.0
831,2013-05-07,4610.0,4679.899902,4610.0,4631.100098,4512.440918,10833.0
832,2013-05-08,4612.0,4665.950195,4612.0,4652.549805,4533.342285,4769.0
833,2013-05-09,4651.0,4788.0,4639.0,4674.700195,4554.924805,16538.0
834,2013-05-10,4668.0,4708.0,4590.0,4600.649902,4482.770996,2876.0
835,2013-05-13,4565.0,4777.200195,4565.0,4661.799805,4542.35498,21102.0
836,2013-05-14,4612.0,4720.049805,4612.0,4634.25,4515.512207,13540.0
837,2013-05-15,4699.0,4710.549805,4632.149902,4702.75,4582.255371,21771.0
838,2013-05-16,4635.149902,4849.0,4635.149902,4795.049805,4672.189941,7865.0
839,2013-05-17,4800.0,4990.0,4799.700195,4937.649902,4811.136719,19168.0
840,2013-05-20,4949.0,5027.299805,4877.0,4987.700195,4859.905272999999,12580.0
841,2013-05-21,4915.049805,4990.0,4725.0,4783.950195,4661.374511999999,11004.0
842,2013-05-22,4859.950195,4969.950195,4824.049805,4919.350098,4793.306152,9382.0
843,2013-05-23,4916.0,4969.0,4881.0,4948.200195,4821.416992,15949.0
844,2013-05-24,4920.149902,4959.899902,4875.049805,4923.399902,4797.251953,4332.0
845,2013-05-27,4885.0,4989.899902,4885.0,4956.149902,4829.163574,15274.0
846,2013-05-28,4940.0,5005.0,4937.0,4995.5,4867.503906,3236.0
847,2013-05-29,4999.950195,5024.899902,4920.0,4962.75,4835.59375,6532.0
848,2013-05-30,4984.0,4984.0,4825.0,4848.350098,4724.125,7754.0
849,2013-05-31,4889.899902,5220.700195,4779.950195,4957.350098,4830.331543,16838.0
850,2013-06-03,4935.0,4935.0,4860.200195,4877.649902,4752.674316,1014.0
851,2013-06-04,4875.0,4875.0,4742.25,4760.5,4638.526855,7466.0
852,2013-06-05,4769.950195,4770.0,4660.0,4701.399902,4580.938965,9914.0
853,2013-06-06,4666.0,4716.0,4666.0,4689.350098,4569.19873,1993.0
854,2013-06-07,4665.0,4845.950195,4660.0,4715.600098,4594.776367,9113.0
855,2013-06-10,4682.600098,4774.0,4682.600098,4733.600098,4612.314941,3490.0
856,2013-06-11,4774.0,4777.0,4702.049805,4716.649902,4595.798828,11442.0
857,2013-06-12,4681.0,4773.0,4615.0,4648.850098,4529.736328,2139.0
858,2013-06-13,4610.0,4679.0,4609.0,4630.75,4512.100098,12116.0
859,2013-06-14,4669.899902,4757.799805,4669.899902,4709.5,4588.83252,2830.0
860,2013-06-17,4698.0,4899.0,4695.0,4857.049805,4732.602539,6720.0
861,2013-06-18,4806.0,4875.0,4760.100098,4780.600098,4658.11084,5995.0
862,2013-06-19,4831.0,4850.0,4715.0,4734.0,4612.705078,2116.0
863,2013-06-20,4754.899902,4773.649902,4651.0,4672.850098,4553.12207,1918.0
864,2013-06-21,4665.0,4729.950195,4620.0,4643.25,4524.280761999999,5880.0
865,2013-06-24,4616.0,4655.200195,4470.0,4503.100098,4387.721191,3633.0
866,2013-06-25,4520.0,4569.950195,4260.0,4412.350098,4299.296875,5459.0
867,2013-06-26,4410.0,4568.950195,4366.0,4429.899902,4316.395996,10333.0
868,2013-06-27,4377.0,4498.799805,4350.0,4478.450195,4363.704102000001,5590.0
869,2013-06-28,4527.0,4724.850098,4517.0,4667.200195,4547.616699,10162.0
870,2013-07-01,4735.0,4778.0,4700.549805,4749.649902,4627.95459,6031.0
871,2013-07-02,4755.0,4859.0,4696.0,4706.350098,4585.76416,1369.0
872,2013-07-03,4700.049805,4700.049805,4519.5,4605.75,4487.741211,4184.0
873,2013-07-04,4641.0,4650.0,4533.0,4554.0,4437.316895,4500.0
874,2013-07-05,4623.799805,4630.0,4572.0,4624.799805,4506.303223,2331.0
875,2013-07-08,4628.950195,4650.0,4550.149902,4561.299805,4444.429688,2578.0
876,2013-07-09,4589.950195,4599.0,4550.0,4560.700195,4443.845703,27243.0
877,2013-07-10,4570.0,4578.0,4523.0,4553.850098,4437.17041,22870.0
878,2013-07-11,4532.100098,4559.950195,4519.950195,4535.100098,4418.901367,3485.0
879,2013-07-12,4564.950195,4564.950195,4510.0,4535.950195,4419.729492,1675.0
880,2013-07-15,4498.950195,4544.0,4490.0,4523.649902,4407.745117,3642.0
881,2013-07-16,4450.0,4519.950195,4422.0,4449.75,4335.738281,3107.0
882,2013-07-17,4491.950195,4539.950195,4455.200195,4510.649902,4395.077636999999,12019.0
883,2013-07-18,4547.350098,4547.450195,4430.700195,4493.899902,4378.756348,9458.0
884,2013-07-19,4462.75,4495.0,4401.200195,4450.950195,4336.908203,17524.0
885,2013-07-22,4490.0,4524.75,4426.0,4499.049805,4383.774414,11225.0
886,2013-07-23,4454.0,4571.0,4454.0,4551.600098,4434.979004,17202.0
887,2013-07-24,4491.700195,4517.0,4399.950195,4419.399902,4306.165527,20147.0
888,2013-07-25,4430.0,4459.049805,4430.0,4446.149902,4332.22998,3649.0
889,2013-07-26,4421.0,4491.950195,4371.350098,4399.899902,4287.166015999999,3596.0
890,2013-07-29,4400.049805,4545.0,4340.0,4359.049805,4247.361328,1715.0
891,2013-07-30,4357.25,4377.950195,4285.0,4302.100098,4191.871582,7792.0
